pm2_5,date_time,data_source,co,pm10,no_2,level,o3,date,city_name,so_2,AQI
38,2019-01-20 10:17:25.692000,api,0.7,67,38,良,115,2018-05-04,山南,15,63
55,2019-01-20 10:17:25.696000,api,1,82,44,良,134,2018-04-03,山南,16,79
45,2019-01-20 10:17:25.709000,api,0.8,103,33,良,66,2018-04-04,山南,8,77
20,2019-01-20 10:17:25.712000,api,0.6,29,19,优,59,2018-04-05,山南,6,30
70,2019-01-20 10:17:25.715000,api,1.2,77,38,良,90,2018-03-03,山南,18,94
34,2019-01-20 10:17:25.718000,api,0.8,47,28,优,80,2018-03-04,山南,14,49
32,2019-01-20 10:17:25.722000,api,0.7,30,25,优,55,2018-03-05,山南,5,46
23,2019-01-20 10:17:25.725000,api,0.6,19,27,优,42,2018-03-06,山南,5,34
30,2019-01-20 10:17:25.728000,api,0.8,50,35,优,95,2016-08-06,山南,9,50
30,2019-01-20 10:17:25.731000,api,0.9,46,34,良,116,2016-08-07,山南,9,64
34,2019-01-20 10:17:25.734000,api,0.9,50,33,良,116,2016-08-08,山南,8,64
42,2019-01-20 10:17:25.737000,api,0.9,57,35,轻度污染,161,2016-08-09,山南,9,101
16,2019-01-20 10:17:25.740000,api,0.7,32,32,优,68,2016-07-06,山南,11,40
44,2019-01-20 10:17:25.744000,api,0.6,72,41,良,135,2016-06-07,山南,8,80
50,2019-01-20 10:17:25.755000,api,0.7,74,39,良,151,2016-06-08,山南,12,93
44,2019-01-20 10:17:25.759000,api,0.6,68,30,良,101,2016-06-09,山南,9,62
34,2019-01-20 10:17:25.762000,api,0.6,44,30,优,78,2016-05-07,山南,6,49
36,2019-01-20 10:17:25.765000,api,0.7,49,31,良,59,2016-05-08,山南,6,52
40,2019-01-20 10:17:25.767000,api,0.7,53,34,良,103,2016-05-09,山南,7,57
47,2019-01-20 10:17:25.771000,api,0.8,77,55,良,160,2016-05-10,山南,13,100
18,2019-01-20 10:17:25.774000,api,0.8,35,44,良,71,2016-04-05,山南,18,55
27,2019-01-20 10:17:25.777000,api,0.7,72,27,良,69,2018-02-03,唐山,12,61
31,2019-01-20 10:17:25.798000,api,0.7,60,31,良,66,2018-02-04,唐山,14,55
45,2019-01-20 10:17:25.801000,api,0.8,61,42,良,75,2018-02-05,唐山,13,63
215,2019-01-20 10:17:25.804000,api,2.6,251,83,重度污染,58,2019-01-03,唐山,34,265
268,2019-01-20 10:17:25.880000,api,3.7,340,118,严重污染,30,2019-01-04,唐山,64,318
93,2019-01-20 10:17:25.883000,api,2,136,66,轻度污染,59,2019-01-05,唐山,36,123
84,2019-01-20 10:17:25.885000,api,1.9,126,62,轻度污染,48,2019-01-06,唐山,30,112
0,2019-01-20 10:17:25.888000,api,2.4,0,57,无,36,2018-12-03,唐山,21,0
0,2019-01-20 10:17:25.891000,api,1.6,0,52,无,48,2018-12-04,唐山,25,0
69,2019-01-20 10:17:25.894000,api,1.3,137,50,良,26,2018-12-05,唐山,16,94
70,2019-01-20 10:17:25.897000,api,1.1,107,42,良,40,2018-12-06,唐山,11,94
81,2019-01-20 10:17:25.901000,api,1,104,46,轻度污染,119,2018-11-03,唐山,18,108
148,2019-01-20 10:17:25.905000,api,1.5,176,55,中度污染,87,2018-11-04,唐山,22,198
46,2019-01-20 10:17:25.909000,api,1.3,49,35,良,31,2018-11-05,唐山,16,64
72,2019-01-20 10:17:25.912000,api,2.5,144,66,良,147,2018-10-03,唐山,31,97
79,2019-01-20 10:17:25.915000,api,1.5,143,62,轻度污染,167,2018-10-04,唐山,20,107
91,2019-01-20 10:17:25.918000,api,1.6,154,66,轻度污染,190,2018-10-05,唐山,20,128
31,2019-01-20 10:17:25.922000,api,1.4,102,32,良,151,2018-09-03,唐山,20,93
28,2019-01-20 10:17:25.925000,api,2,87,44,轻度污染,162,2018-09-04,唐山,28,102
73,2019-01-20 10:17:25.928000,api,1.6,128,30,轻度污染,180,2018-08-03,唐山,10,119
54,2019-01-20 10:17:25.939000,api,1.8,98,27,轻度污染,196,2018-08-04,唐山,12,133
37,2019-01-20 10:17:25.943000,api,1.3,62,23,良,100,2018-08-05,唐山,8,56
40,2019-01-20 10:17:25.946000,api,1.2,62,21,良,145,2018-08-06,唐山,4,88
50,2019-01-20 10:17:25.948000,api,1,71,44,良,32,2019-01-06,唐山,8,69
69,2019-01-20 10:17:26.002000,api,1,99,50,良,39,2019-01-07,唐山,10,93
94,2019-01-20 10:17:26.006000,api,1.2,128,54,轻度污染,11,2019-01-08,唐山,11,124
44,2019-01-20 10:17:26.009000,api,1,74,39,良,33,2018-12-03,唐山,8,62
46,2019-01-20 10:17:26.012000,api,1,78,42,良,16,2018-12-04,唐山,10,64
24,2019-01-20 10:17:26.014000,api,1,40,36,优,18,2018-12-05,唐山,9,45
21,2019-01-20 10:17:26.017000,api,1,30,29,优,9,2018-12-06,唐山,6,37
45,2019-01-20 10:17:26.020000,api,0.7,60,39,良,29,2018-11-05,唐山,6,63
19,2019-01-20 10:17:26.023000,api,0.5,26,29,优,25,2018-11-06,唐山,5,37
18,2019-01-20 10:17:26.026000,api,0.6,26,30,优,21,2018-11-07,唐山,5,38
27,2019-01-20 10:17:26.029000,api,0.7,36,32,优,66,2018-11-08,唐山,8,40
39,2019-01-20 10:17:26.032000,api,0.9,68,48,良,36,2018-10-05,唐山,9,59
42,2019-01-20 10:17:26.077000,api,0.9,62,46,良,26,2018-10-06,唐山,7,57
33,2019-01-20 10:17:26.080000,api,1,48,48,良,17,2018-10-07,唐山,5,58
31,2019-01-20 10:17:26.083000,api,0.9,45,39,优,39,2018-10-08,唐山,6,45
24,2019-01-20 10:17:26.086000,api,0.5,34,22,优,53,2018-09-06,唐山,5,30
17,2019-01-20 10:17:26.090000,api,0.5,23,25,优,59,2018-09-07,唐山,4,30
31,2019-01-20 10:17:26.093000,api,0.9,53,41,轻度污染,166,2018-08-06,唐山,9,106
29,2019-01-20 10:17:26.103000,api,0.9,50,37,良,124,2018-08-07,唐山,8,70
21,2019-01-20 10:17:26.107000,api,0.7,39,34,良,114,2018-08-08,唐山,8,62
